ಅಂಕ	anka	3
ಅಂಕಗಳ	ankagala	2
ಅಂಕಗಳ	ankagalu	1
ಅಂಕಗಳನ್ನು	ankagalannu	3
ಅಂಕಗಳಲ್ಲಿ	ankagalalli	3
ಅಂಕಗಳು	ankagalu	3
ಅಂಕಗಳೊಂದಿಗೆ	ankagalondige	2
ಅಂಕಗಳೊಂದಿಗೆ	ankagolondige	1
ಅಂಕಣ	ankana	3
ಅಂಕಣಕ್ಕೆ	ankanakke	3
ಅಂಕಣದ	ankanada	3
ಅಂಕಣದಲ್ಲಿ	ankanadalli	3
ಅಂಕಿ	anki	3
ಅಂಕಿಅಂಶ	ankiamsha	2
ಅಂಕಿಅಂಶ	ankiansa	1
ಅಂಕಿಅಂಶಗಳ	ankiamshagala	1
ಅಂಕಿಅಂಶಗಳ	ankianshagala	1
ಅಂಕಿಅಂಶಗಳ	ankiavnshagala	1
ಅಂಕಿಅಂಶಗಳನ್ನು	ankiamshagalannu	1
ಅಂಕಿಅಂಶಗಳನ್ನು	ankianshagalannu	1
ಅಂಕಿಅಂಶಗಳನ್ನು	ankianvashagalannu	1
ಅಂಕಿಅಂಶಗಳು	ankiamshagalu	1
ಅಂಕಿಅಂಶಗಳು	ankianshagalu	1
ಅಂಕಿಅಂಶಗಳು	ankiashagalu	1
ಅಂಕಿಗಳನ್ನು	ankigalannu	3
ಅಂಕಿಗಳು	ankigalu	3
ಅಂಕಿತ	ankhita	1
ಅಂಕಿತ	ankita	2
ಅಂಕೆಗೆ	ankege	3
ಅಂಕೋಲಾ	ankola	3
ಅಂಗ	anga	3
ಅಂಗಗಳ	angagala	3
ಅಂಗಗಳನ್ನು	angagalannu	3
ಅಂಗಗಳಲ್ಲಿ	angagalalli	3
ಅಂಗಗಳಿಂದ	angagalinda	3
ಅಂಗಗಳಿಗೆ	angagalige	3
ಅಂಗಗಳು	angagalu	3
ಅಂಗದ	angada	3
ಅಂಗರಕ್ಷಕ	angarakshaka	3
ಅಂಗಳ	angala	3
ಅಂಗಳದಲ್ಲಿ	angaladalli	3
ಅಂಗವನ್ನು	angavannu	3
ಅಂಗವಾಗಿ	angavaagi	1
ಅಂಗವಾಗಿ	angavagi	3
ಅಂಗವಾಗಿತ್ತು	angavaagittu	2
ಅಂಗವಾಗಿತ್ತು	angavagittu	1
ಅಂಗವಾಗಿದೆ	angavaagide	1
ಅಂಗವಾಗಿದೆ	angavagide	2
ಅಂಗವಾದ	angavaada	3
ಅಂಗವಾದ	angavada	1
ಅಂಗವಿಕಲತೆ	angavikalate	3
ಅಂಗವಿಕಲತೆ	angavikalathe	2
ಅಂಗವಿಕಲರಿಗೆ	angavikalarige	3
ಅಂಗಸಂಸ್ಥೆ	angasamste	2
ಅಂಗಸಂಸ್ಥೆ	angasamsthe	3
ಅಂಗಸಾಧನೆ	angasaadhane	1
ಅಂಗಸಾಧನೆ	angasadhane	2
ಅಂಗಾಂಗಗಳ	angaangagala	2
ಅಂಗಾಂಗಗಳ	angangagala	1
ಅಂಗಾಂಗಗಳನ್ನು	angaangagalannu	1
ಅಂಗಾಂಗಗಳನ್ನು	angangagalannu	2
ಅಂಗಾಂಶ	angaamsha	1
ಅಂಗಾಂಶ	angamsha	1
ಅಂಗಾಂಶ	angansa	1
ಅಂಗಾಂಶಗಳ	angaamshagala	2
ಅಂಗಾಂಶಗಳ	angamshagala	1
ಅಂಗಾಂಶಗಳ	angansagala	1
ಅಂಗಾಂಶಗಳನ್ನು	angaamshagalannu	1
ಅಂಗಾಂಶಗಳನ್ನು	angansagalannu	1
ಅಂಗಾಂಶಗಳನ್ನು	anganshagalannu	1
ಅಂಗಾಂಶಗಳಲ್ಲಿ	angaamshagalalli	1
ಅಂಗಾಂಶಗಳಲ್ಲಿ	angansagalalli	1
ಅಂಗಾಂಶಗಳಲ್ಲಿ	anganshagalalli	1
ಅಂಗಾಂಶದ	angaamshada	1
ಅಂಗಾಂಶದ	angansada	1
ಅಂಗಾಂಶದ	anganshada	1
ಅಂಗಾರ	angaara	1
ಅಂಗಾರ	angara	2
ಅಂಗಿ	angi	3
ಅಂಗೀಕರಿಸಿತು	angeekarisithu	1
ಅಂಗೀಕರಿಸಿತು	angeekarisitu	1
ಅಂಗೀಕರಿಸಿತು	angikarisitu	1
ಅಂಗೀಕರಿಸಿದರು	angeekarisidaru	2
ಅಂಗೀಕರಿಸಿದರು	angikarisidaru	2
ಅಂಗೀಕಾರ	angeekaara	2
ಅಂಗೀಕಾರ	angikaara	1
ಅಂಗೀಕಾರ	angikara	1
ಅಂಗುಲ	angula	3
ಅಂಗೈ	angai	3
ಅಂಗೋಲ	angaola	1
ಅಂಗೋಲ	angaolaa	1
ಅಂಗೋಲ	angola	4
ಅಂಗೋಲ	angolaa	1
ಅಂಚನ್ನು	anchannu	3
ಅಂಚಿಗೆ	anchige	3
ಅಂಚಿನಲ್ಲಿ	anchinalli	3
ಅಂಚಿನಲ್ಲಿದೆ	anchinallide	3
ಅಂಚಿನಲ್ಲಿರುವ	anchinalliruva	3
ಅಂಚು	anchu	3
ಅಂಚುಗಳನ್ನು	anchugalannu	3
ಅಂಚುಗಳಲ್ಲಿ	anchugalalli	2
ಅಂಚುಗಳಲ್ಲಿ	anchugalli	1
ಅಂಚುಗಳು	anchugalu	3
ಅಂಜಲಿ	anjali	3
ಅಂಟಿಕೊಂಡು	antikondu	3
ಅಂಟಿಕೊಳ್ಳುತ್ತದೆ	antikolluttade	3
ಅಂಟಿಕೊಳ್ಳುವ	antikolluva	3
ಅಂಟಿದ	antida	3
ಅಂಟಿಸಿಕೊಂಡು	antisikondu	3
ಅಂಟಿಸುವುದು	antisuvudu	3
ಅಂಟು	antu	3
ಅಂಡಮಾನ್	aandaamaan	1
ಅಂಡಮಾನ್	andamaan	1
ಅಂಡಮಾನ್	andaman	3
ಅಂಡರ್	andar	1
ಅಂಡರ್	ander	1
ಅಂಡರ್	undar	1
ಅಂಡರ್	under	3
ಅಂಡಾಕಾರದ	andaakaarada	1
ಅಂಡಾಕಾರದ	andakarada	2
ಅಂಡಾಶಯ	andaashaya	1
ಅಂಡಾಶಯ	andashaya	3
ಅಂಡಾಶಯದ	andaashayada	2
ಅಂಡಾಶಯದ	andashayada	2
ಅಂಡಾಶಯದಿಂದ	andaashayadinda	2
ಅಂಡಾಶಯದಿಂದ	andashayadinda	2
ಅಂತಃಸತ್ವದ	antahasatvada	1
ಅಂತಃಸತ್ವದ	antasatvada	1
ಅಂತಃಸತ್ವದ	anthasatvada	1
ಅಂತರ	antara	3
ಅಂತರಂಗ	antaranga	3
ಅಂತರಂಗದ	antarangada	3
ಅಂತರಕ್ಕೆ	antarakke	3
ಅಂತರಕ್ಕೆ	antharakke	2
ಅಂತರಗಳನ್ನು	antaragalannu	3
ಅಂತರಜಾಲ	antarajaala	1
ಅಂತರಜಾಲ	antarajala	2
ಅಂತರಜಾಲದಲ್ಲಿ	antarajaaladalli	1
ಅಂತರಜಾಲದಲ್ಲಿ	antarajaladalli	2
ಅಂತರದ	antarada	3
ಅಂತರದಲ್ಲಿ	antaradalli	3
ಅಂತರದಲ್ಲಿರುವ	antaradalliruva	3
ಅಂತರದಿಂದ	antaradinda	3
ಅಂತರದಿಂದ	antharadindha	1
ಅಂತರರಾಷ್ಟ್ರೀಯ	antararaashtreeya	1
ಅಂತರರಾಷ್ಟ್ರೀಯ	antararashtriya	1
ಅಂತರರಾಷ್ಟ್ರೀಯ	antararastriya	2
ಅಂತರವನ್ನು	antaravannu	3
ಅಂತರವು	anaravu	1
ಅಂತರವು	antaravu	2
ಅಂತರವು	antharavu	1
ಅಂತರಾಷ್ಟ್ರೀಯ	antaraashtreeya	1
ಅಂತರಾಷ್ಟ್ರೀಯ	antarastriya	1
ಅಂತರಾಷ್ಟ್ರೀಯ	antarrashtriya	1
ಅಂತರಾಷ್ಟ್ರೀಯ	antarrastriya	1
ಅಂತರಿಕ್ಷ	antariksa	2
ಅಂತರಿಕ್ಷ	antariksha	1
ಅಂತರಿಕ್ಷದ	antariksada	2
ಅಂತರಿಕ್ಷದ	antarikshada	2
ಅಂತರಿಕ್ಷದಲ್ಲಿ	antariksadalli	2
ಅಂತರಿಕ್ಷದಲ್ಲಿ	antarikshadalli	2
ಅಂತರಿಕ್ಷಯಾನ	antarikshayaana	3
ಅಂತರಿಕ್ಷಯಾನ	antarikshayana	1
ಅಂತರಿಕ್ಷಯಾನ	antharikshayaana	1
ಅಂತರಿಕ್ಷಯಾನ	antharikshayana	1
ಅಂತರ್	antar	3
ಅಂತರ್	anthar	1
ಅಂತರ್ಗತ	antargata	3
ಅಂತರ್ಗತ	antargatha	1
ಅಂತರ್ಗತ	anthargata	1
ಅಂತರ್ಗತ	anthargatha	1
ಅಂತರ್ಗತವಾಗಿರುವ	antargatavaagiruva	2
ಅಂತರ್ಗತವಾಗಿರುವ	antargatavagiruva	1
ಅಂತರ್ಜಲ	antarjala	3
ಅಂತರ್ಮುಖಿ	antarmukhi	3
ಅಂತಲೂ	antaloo	1
ಅಂತಲೂ	antalu	1
ಅಂತಲೂ	anthalu	1
ಅಂತಲೇ	antale	3
ಅಂತಸ್ತಿನ	antasthina	2
ಅಂತಸ್ತಿನ	antastina	2
ಅಂತಸ್ತಿನ	anthasthina	1
ಅಂತಸ್ತಿನ	anthastina	1
ಅಂತಸ್ತು	antasthu	1
ಅಂತಸ್ತು	antastu	2
ಅಂತಸ್ತು	anthasthu	2
ಅಂತಸ್ತು	anthastu	1
ಅಂತಹ	antaha	3
ಅಂತಹ	anthaha	1
ಅಂತಹಾ	antaha	1
ಅಂತಹಾ	antahaa	1
ಅಂತಹಾ	anthaha	1
ಅಂತಹುದೇ	antahude	3
ಅಂತಹುದೇ	anthahude	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antaaraashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antaarashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antaraashtreeya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antaraashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antarashtriya	2
ಅಂತಾರಾಷ್ಟ್ರೀಯ	anthaaraashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	anthaarashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antharaashtriya	1
ಅಂತಾರಾಷ್ಟ್ರೀಯ	antharashtriya	1
ಅಂತಿಮ	antima	3
ಅಂತಿಮವಾಗಿ	antimavaagi	1
ಅಂತಿಮವಾಗಿ	antimavagi	2
ಅಂತೆ	ante	2
ಅಂತೆ	anthe	1
ಅಂತೆಯೇ	anteye	3
ಅಂತೆಯೇ	anteyee	1
ಅಂತ್ಯ	anthya	1
ಅಂತ್ಯ	antya	3
ಅಂತ್ಯಕಾಲದಲ್ಲಿ	anthyakaaladalli	1
ಅಂತ್ಯಕಾಲದಲ್ಲಿ	anthyakaladalli	1
ಅಂತ್ಯಕಾಲದಲ್ಲಿ	antyakaaladalli	2
ಅಂತ್ಯಕಾಲದಲ್ಲಿ	antyakaladalli	2
ಅಂತ್ಯಕ್ರಿಯೆ	anthyakriye	1
ಅಂತ್ಯಕ್ರಿಯೆ	antyakriye	3
